iter	TotalF1	MultiClass
208	0.9476326922	0.2909200374
209	0.9476326922	0.2897289302
210	0.9483541356	0.2888765851
211	0.9483992138	0.2875926701
212	0.9483992138	0.286885606
213	0.9493509523	0.2857285766
214	0.9487005207	0.284541903
215	0.9490496212	0.283595713
216	0.9481365675	0.2824885808
217	0.9490912564	0.2818934303
218	0.9493929115	0.2810585811
219	0.949041812	0.2799337151
220	0.947741038	0.2790256083
221	0.9502573686	0.2780258285
222	0.9506464856	0.2771693685
223	0.9496496432	0.2767986118
224	0.9499535189	0.2762764369
225	0.9522361151	0.2753370452
226	0.9499054334	0.2737905027
227	0.9522309282	0.2729704057
228	0.9525345405	0.2715548911
229	0.9541400722	0.270305646
230	0.9540922919	0.2694977219
231	0.9546963615	0.268759591
232	0.9540440307	0.267666025
233	0.9556030328	0.2669032138
234	0.9549506168	0.2663947791
235	0.9559034509	0.2653011696
236	0.9549482405	0.2644692378
237	0.9562038402	0.2638700911
238	0.9559011825	0.2626910888
239	0.956905396	0.2613071612
240	0.9566047889	0.260530896
241	0.9559524434	0.2596600215
242	0.9562530298	0.2588984516
243	0.9559524434	0.2581906055
244	0.9566047889	0.2577323889
245	0.9566047889	0.2570922582
246	0.9572082625	0.2563592361
247	0.9568541157	0.2556346224
248	0.9578070431	0.2550593643
249	0.9590643397	0.2547185827
250	0.9590622744	0.2539492427
251	0.9590643397	0.2534057632
252	0.9600170361	0.2525420162
253	0.9596668175	0.2514865463
254	0.9612236013	0.2511356674
255	0.9612236013	0.2506377089
256	0.961525675	0.2501440884
257	0.9612236013	0.2489293364
258	0.961823061	0.2479414276
259	0.9624756675	0.2474345678
260	0.9621759329	0.2465396253
261	0.9627753758	0.2454567389
262	0.9627753758	0.2450811849
263	0.9624756675	0.2445382402
264	0.9627774759	0.2439337168
265	0.9630770386	0.2431151094
266	0.9630770386	0.2426945566
267	0.9624736912	0.2419609981
268	0.9630750582	0.2414950426
269	0.9627753758	0.2406625813
270	0.9633765755	0.2403744317
271	0.9630770386	0.2399186063
272	0.9630770386	0.2390147657
273	0.9621719843	0.2385695355
274	0.9624736912	0.2379649456
275	0.9627753758	0.2376475726
276	0.9627735192	0.2371526158
277	0.9627753758	0.2357996724
278	0.9630750582	0.2351723992
279	0.9630750582	0.2348743662
280	0.9633765755	0.2344633534
281	0.9630750582	0.2340246546
282	0.9633765755	0.233315832
283	0.9630750582	0.2326973906
284	0.9633765755	0.2318250563
285	0.9630770386	0.2308184313
286	0.9630770386	0.2304541409
287	0.9640313478	0.2295380854
288	0.9637296813	0.2289360148
289	0.9637296813	0.2280986549
290	0.9637296813	0.2274435121
291	0.9643307565	0.2270560161
292	0.9643307565	0.2262830287
293	0.965284961	0.225811764
294	0.9649856809	0.2250128377
295	0.965284961	0.2247884265
296	0.9658879461	0.2246181804
297	0.9662391908	0.2239558427
298	0.9659376644	0.2235136515
299	0.9668919197	0.2231129401
300	0.9671910612	0.2228692974
301	0.967492444	0.2224725355
302	0.967492444	0.2222191443
303	0.9678438115	0.2217313082
304	0.9681452161	0.2216146748
305	0.9681452161	0.2215442607
306	0.9684442028	0.2213105957
307	0.9675423854	0.220848194
308	0.9675423854	0.2205621706
309	0.9675423854	0.2203508675
310	0.9687454416	0.219990747
311	0.9684442028	0.2199554232
312	0.9684465997	0.2197397928
313	0.9684465997	0.2196469848
314	0.9690421026	0.2193251846
315	0.9687431649	0.2189353077
316	0.9684442028	0.2186573684
317	0.9690421026	0.2183118907
318	0.9690442589	0.2175913655
319	0.9693430522	0.2173204411
320	0.9693430522	0.2173115238
321	0.9696439816	0.2170768838
322	0.9693430522	0.2166869901
323	0.9696399065	0.2163261012
324	0.9696418217	0.2154725424
325	0.9693430522	0.2150216257
326	0.9687431649	0.214581544
327	0.9687431649	0.2142428152
328	0.9687431649	0.2138555493
329	0.9687431649	0.2138525822
330	0.9690421026	0.2138160016
331	0.9690421026	0.213357107
332	0.9702412092	0.2129303913
333	0.9699405677	0.2120779964
334	0.9699405677	0.2117326241
335	0.9702412092	0.2114640487
336	0.9702412092	0.2111059674
337	0.9711407269	0.210739181
338	0.9708424344	0.2105455176
339	0.9708448472	0.2103070069
340	0.9708424344	0.2099770183
341	0.9711407269	0.2098983206
342	0.9717936736	0.2092569949
343	0.972390219	0.208682508
344	0.9717392958	0.2079825425
345	0.9717392958	0.2079286477
346	0.9723922745	0.2075203048
347	0.9726903934	0.2071216936
348	0.9726903934	0.2068633331
349	0.9732865674	0.2058080764
350	0.9732865674	0.2058006395
351	0.9735846232	0.2051119761
352	0.9729884909	0.204509232
